objectid,codbairro,bairro,area_planejamento,cod_rp,rp,ra,regiao_adm,total_transações,uso,média_percentual_transferido,média_área_terreno,média_valor_transações,média_valor_imóvel,principal_transação_mercado,ano_transação,mês_transação
888987,28,Jardim Botânico           ,2,2.1,Zona Sul,6,LAGOA                   ,1,TERRITORIAL,100,681,950000,950000,COMPRA E VENDA,2012,4
888988,28,Jardim Botânico           ,2,2.1,Zona Sul,6,LAGOA                   ,1,TERRITORIAL,100,702,4480629.59,4480629.59,COMPRA E VENDA,2012,7
888989,130,Vargem Pequena            ,4,4.2,Barra da Tijuca,24,BARRA DA TIJUCA         ,14,TERRITORIAL,45.460714,6963.357142,127246.647857,5543666.072142,COMPRA E VENDA,2012,3
888990,130,Vargem Pequena            ,4,4.2,Barra da Tijuca,24,BARRA DA TIJUCA         ,13,TERRITORIAL,32.13,11592,152914.070769,3786662.716923,COMPRA E VENDA,2012,6
888991,130,Vargem Pequena            ,4,4.2,Barra da Tijuca,24,BARRA DA TIJUCA         ,11,TERRITORIAL,15.402727,8132.454545,66963.930909,2256309.738181,COMPRA E VENDA,2012,9
888992,130,Vargem Pequena            ,4,4.2,Barra da Tijuca,24,BARRA DA TIJUCA         ,10,TERRITORIAL,51691,8383.1,135775649,3430013371,COMPRA E VENDA,2012,12
888993,27,Lagoa                     ,2,2.1,Zona Sul,6,LAGOA                   ,3,TERRITORIAL,100,2624.666666,1046666.67,1046666.67,COMPRA E VENDA,2012,6
888994,127,Itanhangá                 ,4,4.2,Barra da Tijuca,24,BARRA DA TIJUCA         ,1,TERRITORIAL,100,1100,179999.99,179999.99,COMPRA E VENDA,2012,2
888995,127,Itanhangá                 ,4,4.2,Barra da Tijuca,24,BARRA DA TIJUCA         ,3,TERRITORIAL,100,856,741899.41,741899.41,COMPRA E VENDA,2012,5
888996,127,Itanhangá                 ,4,4.2,Barra da Tijuca,24,BARRA DA TIJUCA         ,8,TERRITORIAL,65.62375,1436.75,495000.00125,577536.01625,COMPRA E VENDA,2012,8
888997,29,Gávea                     ,2,2.1,Zona Sul,6,LAGOA                   ,1,TERRITORIAL,100,1182,1050000,1050000,COMPRA E VENDA,2012,4
888998,128,Barra da Tijuca           ,4,4.2,Barra da Tijuca,24,BARRA DA TIJUCA         ,17,TERRITORIAL,88.705882,721.235294,1121550.469411,1629785.735294,COMPRA E VENDA,2012,3
888999,128,Barra da Tijuca           ,4,4.2,Barra da Tijuca,24,BARRA DA TIJUCA         ,14,TERRITORIAL,96.428571,705.428571,1152685.118571,1198582.032857,COMPRA E VENDA,2012,6
889000,153,Pedra de Guaratiba        ,5,5.4,Guaratiba,26,GUARATIBA               ,5,TERRITORIAL,80476,1920.4,55833.76,260917794,COMPRA E VENDA,2012,1
889001,153,Pedra de Guaratiba        ,5,5.4,Guaratiba,26,GUARATIBA               ,13,TERRITORIAL,60.050769,3806,98677.066923,309878.810769,COMPRA E VENDA,2012,8
889002,153,Pedra de Guaratiba        ,5,5.4,Guaratiba,26,GUARATIBA               ,3,TERRITORIAL,100,360,99585.34,99585.34,COMPRA E VENDA,2012,11
889003,132,Recreio dos Bandeirantes  ,4,4.2,Barra da Tijuca,24,BARRA DA TIJUCA         ,33,TERRITORIAL,34.818181,1976.90909,382049.802424,1455466.063939,COMPRA E VENDA,2012,7
889004,54,Inhaúma                   ,3,3.4,Inhaúma,12,INHAUMA                 ,1,TERRITORIAL,100,112,53650.29,53650.29,COMPRA E VENDA,2013,6
889005,143,Santíssimo                ,5,5.2,Campo Grande,18,CAMPO GRANDE            ,8,TERRITORIAL,100,170375,29392725,29392725,COMPRA E VENDA,2013,4
889006,143,Santíssimo                ,5,5.2,Campo Grande,18,CAMPO GRANDE            ,1,TERRITORIAL,100,243,27361.86,27361.86,COMPRA E VENDA,2013,7
889007,143,Santíssimo                ,5,5.2,Campo Grande,18,CAMPO GRANDE            ,4,TERRITORIAL,100,6739.25,413785915,413785915,COMPRA E VENDA,2013,10
889008,83,Madureira                 ,3,3.3,Madureira,15,MADUREIRA               ,8,TERRITORIAL,97.29375,478375,636716.3375,731063.55125,COMPRA E VENDA,2013,3
889009,83,Madureira                 ,3,3.3,Madureira,15,MADUREIRA               ,1,TERRITORIAL,100,289,378905.23,378905.23,COMPRA E VENDA,2013,6
889010,88,Osvaldo Cruz              ,3,3.3,Madureira,15,MADUREIRA               ,1,TERRITORIAL,100,375,80331.73,80331.73,COMPRA E VENDA,2013,5
889011,88,Osvaldo Cruz              ,3,3.3,Madureira,15,MADUREIRA               ,1,TERRITORIAL,100,577,83519.51,83519.51,COMPRA E VENDA,2013,8
889012,149,Santa Cruz                ,5,5.3,Santa Cruz,19,SANTA CRUZ              ,2,TERRITORIAL,100,262,119432.62,119432.62,COMPRA E VENDA,2013,1
889013,149,Santa Cruz                ,5,5.3,Santa Cruz,19,SANTA CRUZ              ,4,TERRITORIAL,87.5,300.5,109362.1175,128619.7425,COMPRA E VENDA,2013,4
889014,149,Santa Cruz                ,5,5.3,Santa Cruz,19,SANTA CRUZ              ,3,TERRITORIAL,83.333333,1618,70553.693333,85605.973333,COMPRA E VENDA,2013,7
889015,142,Senador Camará            ,5,5.1,Bangu,17,BANGU                   ,4,TERRITORIAL,100,139.5,24109.27,24109.27,COMPRA E VENDA,2013,12
889016,71,Pilares                   ,3,3.2,Méier,13,MEIER                   ,1,TERRITORIAL,100,986,123141.34,123141.34,COMPRA E VENDA,2013,9
889017,82,Cascadura                 ,3,3.3,Madureira,15,MADUREIRA               ,1,TERRITORIAL,100,1014,196006.07,196006.07,COMPRA E VENDA,2013,9
889018,125,Vila Valqueire            ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,2,TERRITORIAL,100,497,217728365,217728365,COMPRA E VENDA,2013,8
889019,137,Jardim Sulacap            ,5,5.1,Bangu,33,REALENGO                ,1,TERRITORIAL,100,520,57276.81,57276.81,COMPRA E VENDA,2013,5
889020,145,Senador Vasconcelos       ,5,5.2,Campo Grande,18,CAMPO GRANDE            ,1,TERRITORIAL,100,225,16361.53,16361.53,COMPRA E VENDA,2013,2
889021,145,Senador Vasconcelos       ,5,5.2,Campo Grande,18,CAMPO GRANDE            ,2,TERRITORIAL,100,147.5,9923.32,9923.32,COMPRA E VENDA,2013,9
889022,147,Cosmos                    ,5,5.2,Campo Grande,18,CAMPO GRANDE            ,21,TERRITORIAL,100,193.142857,47709.453333,47709.453333,COMPRA E VENDA,2013,1
889023,147,Cosmos                    ,5,5.2,Campo Grande,18,CAMPO GRANDE            ,4,TERRITORIAL,100,306,93932.1675,93932.1675,COMPRA E VENDA,2013,8
889024,147,Cosmos                    ,5,5.2,Campo Grande,18,CAMPO GRANDE            ,17,TERRITORIAL,95.588235,3451.470588,302152.451176,324845.367058,COMPRA E VENDA,2013,11
889025,155,Jacarezinho               ,3,3.2,Méier,28,JACAREZINHO             ,1,TERRITORIAL,100,590,123730.8,123730.8,COMPRA E VENDA,2013,7
889026,155,Jacarezinho               ,3,3.2,Méier,28,JACAREZINHO             ,1,TERRITORIAL,100,316,72273.58,72273.58,COMPRA E VENDA,2013,10
889027,124,Praça Seca                ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,1,TERRITORIAL,100,152,55881.37,55881.37,COMPRA E VENDA,2013,5
889028,124,Praça Seca                ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,3,TERRITORIAL,100,1115.333333,73563.463333,73563.463333,COMPRA E VENDA,2013,8
889029,66,Engenho de Dentro         ,3,3.2,Méier,13,MEIER                   ,1,TERRITORIAL,50,105,29572.26,59144.52,COMPRA E VENDA,2013,3
889030,66,Engenho de Dentro         ,3,3.2,Méier,13,MEIER                   ,2,TERRITORIAL,100,314.5,111598605,111598605,COMPRA E VENDA,2013,6
889031,63,Méier                     ,3,3.2,Méier,13,MEIER                   ,2,TERRITORIAL,100,1943,644119945,644119945,COMPRA E VENDA,2013,11
889032,123,Tanque                    ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,3,TERRITORIAL,100,365,152107.726666,152107.726666,COMPRA E VENDA,2013,1
889033,123,Tanque                    ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,1,TERRITORIAL,100,893,203804.69,203804.69,COMPRA E VENDA,2013,4
889034,122,Taquara                   ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,7,TERRITORIAL,58.65,4707.714285,70833.495714,394158.228571,COMPRA E VENDA,2013,3
889035,122,Taquara                   ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,6,TERRITORIAL,76.666666,498.5,174319.028333,264072.521666,COMPRA E VENDA,2013,6
889036,122,Taquara                   ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,4,TERRITORIAL,52.21,17204,589046.4475,3083754.53,COMPRA E VENDA,2013,9
889037,120,Freguesia (Jacarepaguá)   ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,2,TERRITORIAL,100,415,446728065,446728065,COMPRA E VENDA,2013,3
889038,120,Freguesia (Jacarepaguá)   ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,3,TERRITORIAL,83.333333,369.666666,261332.38,327945.483333,COMPRA E VENDA,2013,6
889039,7,Rio Comprido              ,1,1.1,Centro,3,RIO COMPRIDO            ,1,TERRITORIAL,100,176,17459.1,17459.1,COMPRA E VENDA,2013,10
889040,14,Santa Teresa              ,1,1.1,Centro,23,SANTA TEREZA            ,1,TERRITORIAL,100,881,493000,493000,COMPRA E VENDA,2013,9
889041,33,Tijuca                    ,2,2.2,Tijuca,8,TIJUCA                  ,1,TERRITORIAL,100,364,350000,350000,COMPRA E VENDA,2013,10
889042,121,Pechincha                 ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,4,TERRITORIAL,75,406.25,177675.4625,239788.5775,COMPRA E VENDA,2013,1
889043,121,Pechincha                 ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,5,TERRITORIAL,80,870,286105004,334355194,COMPRA E VENDA,2013,4
889044,121,Pechincha                 ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,1,TERRITORIAL,100,441,260707.86,260707.86,COMPRA E VENDA,2013,7
889045,17,Laranjeiras               ,2,2.1,Zona Sul,4,BOTAFOGO                ,2,TERRITORIAL,100,419.5,551500,551500,COMPRA E VENDA,2013,10
889046,151,Guaratiba                 ,5,5.4,Guaratiba,26,GUARATIBA               ,37,TERRITORIAL,80.307837,3442.297297,43078.583783,157352.255945,COMPRA E VENDA,2013,2
889047,151,Guaratiba                 ,5,5.4,Guaratiba,26,GUARATIBA               ,53,TERRITORIAL,96.70132,2496.867924,48858.532641,94994.415094,COMPRA E VENDA,2013,5
889048,151,Guaratiba                 ,5,5.4,Guaratiba,26,GUARATIBA               ,31,TERRITORIAL,89.698709,1880.967741,50156.906774,102664.946129,COMPRA E VENDA,2013,9
889049,151,Guaratiba                 ,5,5.4,Guaratiba,26,GUARATIBA               ,21,TERRITORIAL,90.691428,2554.047619,63359.107142,149552.198571,COMPRA E VENDA,2013,12
889050,131,Vargem Grande             ,4,4.2,Barra da Tijuca,24,BARRA DA TIJUCA         ,12,TERRITORIAL,22.131666,11783.916666,234666.231666,1680559.146666,COMPRA E VENDA,2013,1
889051,131,Vargem Grande             ,4,4.2,Barra da Tijuca,24,BARRA DA TIJUCA         ,5,TERRITORIAL,2184,21526.2,17862.6,1055765.27,COMPRA E VENDA,2013,4
889052,132,Recreio dos Bandeirantes  ,4,4.2,Barra da Tijuca,24,BARRA DA TIJUCA         ,60,TERRITORIAL,38.975333,16622.966666,1429910.0915,61393523.968666,COMPRA E VENDA,2012,10
889053,126,Joá                       ,4,4.2,Barra da Tijuca,24,BARRA DA TIJUCA         ,1,TERRITORIAL,100,942,550000,550000,COMPRA E VENDA,2012,5
889054,126,Joá                       ,4,4.2,Barra da Tijuca,24,BARRA DA TIJUCA         ,2,TERRITORIAL,100,1774,1000000,1000000,COMPRA E VENDA,2012,8
889055,152,Barra de Guaratiba        ,5,5.4,Guaratiba,26,GUARATIBA               ,1,TERRITORIAL,100,770,46290.11,46290.11,COMPRA E VENDA,2012,4
889056,152,Barra de Guaratiba        ,5,5.4,Guaratiba,26,GUARATIBA               ,1,TERRITORIAL,48.71,1390,5805.24,11917.96,COMPRA E VENDA,2012,7
889057,144,Campo Grande,5,5.2,Campo Grande,18,CAMPO GRANDE            ,71,TERRITORIAL,97.887323,1763,64517.908169,65550.043239,COMPRA E VENDA,2012,3
