objectid,codbairro,bairro,area_planejamento,cod_rp,rp,ra,regiao_adm,total_transações,uso,média_percentual_transferido,média_área_terreno,média_valor_transações,média_valor_imóvel,principal_transação_mercado,ano_transação
377858,7,Rio Comprido              ,1,1.1,Centro,3,RIO COMPRIDO            ,1,TERRITORIAL,100,120,36748.82,36748.82,COMPRA E VENDA,2025
377859,17,Laranjeiras               ,2,2.1,Zona Sul,4,BOTAFOGO                ,1,TERRITORIAL,100,1363,2589897.13,2589897.13,COMPRA E VENDA,2025
377860,34,Alto da Boa Vista         ,2,2.2,Tijuca,8,TIJUCA                  ,1,TERRITORIAL,100,732,510000.02,510000.02,COMPRA E VENDA,2025
377861,130,Vargem Pequena            ,4,4.2,Barra da Tijuca,24,BARRA DA TIJUCA         ,33,TERRITORIAL,96.818181,3165.060606,1035828.219393,1116317.593939,COMPRA E VENDA,2025
377862,27,Lagoa                     ,2,2.1,Zona Sul,6,LAGOA                   ,3,TERRITORIAL,100,740.333333,1050666.68,1050666.68,COMPRA E VENDA,2025
377863,144,Campo Grande,5,5.2,Campo Grande,18,CAMPO GRANDE            ,105,TERRITORIAL,94.533333,7488.038095,170903648,194953.070571,COMPRA E VENDA,2025
377864,109,Ricardo de Albuquerque    ,3,3.6,Pavuna,22,ANCHIETA                ,2,TERRITORIAL,100,194,38515615,38515615,COMPRA E VENDA,2020
377865,42,Olaria                    ,3,3.1,Ramos,10,RAMOS                   ,1,TERRITORIAL,100,217,61354.77,61354.77,COMPRA E VENDA,2020
377866,139,Realengo                  ,5,5.1,Bangu,33,REALENGO                ,6,TERRITORIAL,100,615.166666,151455.92,151455.92,COMPRA E VENDA,2020
377867,89,Bento Ribeiro             ,3,3.3,Madureira,15,MADUREIRA               ,3,TERRITORIAL,100,418,112788.863333,112788.863333,COMPRA E VENDA,2020
377868,142,Senador Camará            ,5,5.1,Bangu,17,BANGU                   ,3,TERRITORIAL,100,539.666666,122394.49,122394.49,COMPRA E VENDA,2020
377869,71,Pilares                   ,3,3.2,Méier,13,MEIER                   ,1,TERRITORIAL,100,506,257920.02,257920.02,COMPRA E VENDA,2020
377870,137,Jardim Sulacap            ,5,5.1,Bangu,33,REALENGO                ,9,TERRITORIAL,100,7041.777777,465483.321111,465483.321111,COMPRA E VENDA,2020
377871,145,Senador Vasconcelos       ,5,5.2,Campo Grande,18,CAMPO GRANDE            ,4,TERRITORIAL,100,292.75,64686.6025,64686.6025,COMPRA E VENDA,2020
377872,65,Cachambi                  ,3,3.2,Méier,13,MEIER                   ,1,TERRITORIAL,100,330,184600,184600,COMPRA E VENDA,2020
377873,58,Rocha                     ,3,3.2,Méier,13,MEIER                   ,1,TERRITORIAL,100,68,46199.99,46199.99,COMPRA E VENDA,2020
377874,35,Maracanã                  ,2,2.2,Tijuca,9,VILA ISABEL             ,2,TERRITORIAL,66665,224.5,290500.01,731566175,COMPRA E VENDA,2020
377875,14,Santa Teresa              ,1,1.1,Centro,23,SANTA TEREZA            ,1,TERRITORIAL,100,421,599999.99,599999.99,COMPRA E VENDA,2020
377876,151,Guaratiba                 ,5,5.4,Guaratiba,26,GUARATIBA               ,195,TERRITORIAL,98.500666,758.625641,83414.142205,98726.529641,COMPRA E VENDA,2020
377877,115,Jacarepaguá               ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,29,TERRITORIAL,78.505517,648.37931,295714.106896,361635.372758,COMPRA E VENDA,2020
377878,117,Gardênia Azul             ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,1,TERRITORIAL,100,366,140447.98,140447.98,COMPRA E VENDA,2020
377879,127,Itanhangá                 ,4,4.2,Barra da Tijuca,24,BARRA DA TIJUCA         ,20,TERRITORIAL,100,4839,2094099944,2094099944,COMPRA E VENDA,2020
377880,153,Pedra de Guaratiba        ,5,5.4,Guaratiba,26,GUARATIBA               ,13,TERRITORIAL,96.153846,1039.076923,165626.44923,168522.2,COMPRA E VENDA,2020
377881,126,Joá                       ,4,4.2,Barra da Tijuca,24,BARRA DA TIJUCA         ,7,TERRITORIAL,95.238571,1173.714285,1146733.422857,1232434.85,COMPRA E VENDA,2020
377882,4,Caju                      ,1,1.1,Centro,1,PORTUARIA               ,1,TERRITORIAL,100,47,18170.48,18170.48,COMPRA E VENDA,2020
377883,141,Bangu,5,5.1,Bangu,17,BANGU                   ,12,TERRITORIAL,93.055833,216.916666,60026.415833,65980.780833,COMPRA E VENDA,2020
377884,97,Bancários                 ,3,3.7,Ilha do Governador,20,ILHA DO GOVERNADOR      ,1,TERRITORIAL,100,379,128175.42,128175.42,COMPRA E VENDA,2021
377885,48,Vigário Geral             ,3,3.5,Penha,31,VIGARIO GERAL           ,1,TERRITORIAL,100,400,70122.01,70122.01,COMPRA E VENDA,2021
377886,47,Parada de Lucas           ,3,3.5,Penha,31,VIGARIO GERAL           ,1,TERRITORIAL,0.65,7957,2375.1,365400,COMPRA E VENDA,2021
377887,44,Penha Circular            ,3,3.5,Penha,11,PENHA                   ,4,TERRITORIAL,100,1081.25,448975.6225,448975.6225,COMPRA E VENDA,2021
377888,76,Irajá                     ,3,3.3,Madureira,14,IRAJA                   ,4,TERRITORIAL,95,1522.75,561128.08,573452.08,COMPRA E VENDA,2021
377889,15,Flamengo                  ,2,2.1,Zona Sul,4,BOTAFOGO                ,1,TERRITORIAL,100,669,633785.37,633785.37,COMPRA E VENDA,2015
377890,131,Vargem Grande             ,4,4.2,Barra da Tijuca,24,BARRA DA TIJUCA         ,35,TERRITORIAL,12.467142,13863.371428,151688.926857,2956524.094285,COMPRA E VENDA,2015
377891,119,Curicica                  ,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,11,TERRITORIAL,92.03,1135.90909,391913.56909,411292.306363,COMPRA E VENDA,2015
377892,129,Camorim                   ,4,4.2,Barra da Tijuca,24,BARRA DA TIJUCA         ,1,TERRITORIAL,100,35580,3418107.2,3418107.2,COMPRA E VENDA,2015
377893,28,Jardim Botânico           ,2,2.1,Zona Sul,6,LAGOA                   ,1,TERRITORIAL,100,455,18633262.53,18633262.53,COMPRA E VENDA,2015
377894,29,Gávea                     ,2,2.1,Zona Sul,6,LAGOA                   ,1,TERRITORIAL,1.66,537,132800,8000000,COMPRA E VENDA,2015
377895,132,Recreio dos Bandeirantes  ,4,4.2,Barra da Tijuca,24,BARRA DA TIJUCA         ,115,TERRITORIAL,54.196869,3408.686956,1512783.00513,3669208.258173,COMPRA E VENDA,2015
377896,152,Barra de Guaratiba        ,5,5.4,Guaratiba,26,GUARATIBA               ,2,TERRITORIAL,100,604,46408.02,46408.02,COMPRA E VENDA,2015
377897,159,Parque Colúmbia           ,3,3.6,Pavuna,25,PAVUNA                  ,6,TERRITORIAL,85.416666,357.5,77447.66,84079.378333,COMPRA E VENDA,2016
377898,107,Anchieta                  ,3,3.6,Pavuna,22,ANCHIETA                ,5,TERRITORIAL,70,652,51928836,60773.13,COMPRA E VENDA,2016
